suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-utfit;5;1;0.01;0;0;1;0.00;0.00;100.00;tiftu-
-ebar;4;1;0.01;0;1;0;0.00;100.00;0.00;rabe-
-unsch;5;1;0.01;1;0;0;100.00;0.00;0.00;hcsnu-
-sgang;5;1;0.01;1;0;0;100.00;0.00;0.00;gnags-
-fahrt;5;1;0.01;0;1;0;0.00;100.00;0.00;trhaf-
-blade;5;1;0.01;0;1;0;0.00;100.00;0.00;edalb-
-äsche;5;2;0.02;0;2;0;0.00;100.00;0.00;ehcsä-
-sgabe;5;1;0.01;0;1;0;0.00;100.00;0.00;ebags-
-nnel;4;1;0.01;1;0;0;100.00;0.00;0.00;lenn-
-ebet;4;1;0.01;0;0;1;0.00;0.00;100.00;tebe-
-umor;4;1;0.01;1;0;0;100.00;0.00;0.00;romu-
-nhof;4;2;0.02;2;0;0;100.00;0.00;0.00;fohn-
-nnen;4;2;0.02;1;0;1;50.00;0.00;50.00;nenn-
-wanne;5;1;0.01;0;1;0;0.00;100.00;0.00;ennaw-
-ferd;4;1;0.01;0;0;1;0.00;0.00;100.00;dref-
-logie;5;1;0.01;0;1;0;0.00;100.00;0.00;eigol-
-nere;4;2;0.02;0;0;2;0.00;0.00;100.00;eren-
-ehirn;5;1;0.01;0;0;1;0.00;0.00;100.00;nrihe-
-bend;4;2;0.02;2;0;0;100.00;0.00;0.00;dneb-
-emüt;4;1;0.01;1;0;0;100.00;0.00;0.00;tüme-
-bene;4;1;0.01;0;1;0;0.00;100.00;0.00;eneb-
-nnis;4;1;0.01;0;0;1;0.00;0.00;100.00;sinn-
-nner;4;1;0.01;1;0;0;100.00;0.00;0.00;renn-
-bnis;4;2;0.02;0;1;1;0.00;50.00;50.00;sinb-
-fnis;4;1;0.01;0;0;1;0.00;0.00;100.00;sinf-
-mmode;5;1;0.01;0;1;0;0.00;100.00;0.00;edomm-
-mpfer;5;1;0.01;1;0;0;100.00;0.00;0.00;refpm-
-allen;5;1;0.01;1;0;0;100.00;0.00;0.00;nella-
-ugel;4;1;0.01;0;1;0;0.00;100.00;0.00;legu-
-iegel;5;2;0.02;2;0;0;100.00;0.00;0.00;legei-
-blatt;5;1;0.01;0;0;1;0.00;0.00;100.00;ttalb-
-lizei;5;1;0.01;0;1;0;0.00;100.00;0.00;iezil-
-llner;5;1;0.01;1;0;0;100.00;0.00;0.00;renll-
-rsum;4;1;0.01;0;0;1;0.00;0.00;100.00;musr-
-höhe;4;1;0.01;0;1;0;0.00;100.00;0.00;ehöh-
-ieger;5;2;0.02;2;0;0;100.00;0.00;0.00;regei-
-ssion;5;3;0.03;0;3;0;0.00;100.00;0.00;noiss-
-mack;4;1;0.01;1;0;0;100.00;0.00;0.00;kcam-
-ruder;5;1;0.01;1;0;0;100.00;0.00;0.00;redur-
-duum;4;1;0.01;0;0;1;0.00;0.00;100.00;muud-
-pitel;5;1;0.01;0;0;1;0.00;0.00;100.00;letip-
-onie;4;2;0.02;0;2;0;0.00;100.00;0.00;eino-
-dose;4;1;0.01;0;1;0;0.00;100.00;0.00;esod-
-ktor;4;1;0.01;1;0;0;100.00;0.00;0.00;rotk-
-onig;4;1;0.01;1;0;0;100.00;0.00;0.00;gino-
-otor;4;2;0.02;2;0;0;100.00;0.00;0.00;roto-
-dizin;5;1;0.01;0;1;0;0.00;100.00;0.00;nizid-
-puter;5;1;0.01;1;0;0;100.00;0.00;0.00;retup-
-inute;5;1;0.01;0;1;0;0.00;100.00;0.00;etuni-
-uchen;5;2;0.02;2;0;0;100.00;0.00;0.00;nehcu-
-rgie;4;1;0.01;0;1;0;0.00;100.00;0.00;eigr-
-rmor;4;1;0.01;1;0;0;100.00;0.00;0.00;romr-
-gnal;4;1;0.01;0;0;1;0.00;0.00;100.00;lang-
-onal;4;1;0.01;0;0;1;0.00;0.00;100.00;lano-
-zog;3;1;0.01;1;0;0;100.00;0.00;0.00;goz-
-hock;4;1;0.01;1;0;0;100.00;0.00;0.00;kcoh-
-linik;5;1;0.01;0;1;0;0.00;100.00;0.00;kinil-
-ucher;5;1;0.01;1;0;0;100.00;0.00;0.00;rehcu-
-klave;5;1;0.01;1;0;0;100.00;0.00;0.00;evalk-
-olade;5;1;0.01;0;1;0;0.00;100.00;0.00;edalo-
-gend;4;1;0.01;0;1;0;0.00;100.00;0.00;dneg-
-hied;4;2;0.02;2;0;0;100.00;0.00;0.00;deih-
-aße;3;2;0.02;0;2;0;0.00;100.00;0.00;eßa-
-önch;4;1;0.01;1;0;0;100.00;0.00;0.00;hcnö-
-gene;4;1;0.01;1;0;0;100.00;0.00;0.00;eneg-
-sene;4;1;0.01;1;0;0;100.00;0.00;0.00;enes-
-gner;4;1;0.01;1;0;0;100.00;0.00;0.00;reng-
-rase;4;1;0.01;0;1;0;0.00;100.00;0.00;esar-
-gnis;4;3;0.03;0;0;3;0.00;0.00;100.00;sing-
-erung;5;14;0.16;0;14;0;0.00;100.00;0.00;gnure-
-ohol;4;1;0.01;1;0;0;100.00;0.00;0.00;loho-
-eiche;5;1;0.01;0;1;0;0.00;100.00;0.00;ehcie-
-mchen;5;1;0.01;0;0;1;0.00;0.00;100.00;nehcm-
-tue;3;1;0.01;0;1;0;0.00;100.00;0.00;eut-
-reund;5;3;0.03;3;0;0;100.00;0.00;0.00;dnuer-
-dium;4;2;0.02;0;0;2;0.00;0.00;100.00;muid-
-rage;4;4;0.05;0;4;0;0.00;100.00;0.00;egar-
-rgen;4;1;0.01;1;0;0;100.00;0.00;0.00;negr-
-onat;4;1;0.01;1;0;0;100.00;0.00;0.00;tano-
-rgan;4;1;0.01;0;0;1;0.00;0.00;100.00;nagr-
-tzen;4;1;0.01;1;0;0;100.00;0.00;0.00;nezt-
-ndort;5;1;0.01;1;0;0;100.00;0.00;0.00;trodn-
-lzen;4;1;0.01;1;0;0;100.00;0.00;0.00;nezl-
-eufel;5;1;0.01;1;0;0;100.00;0.00;0.00;lefue-
-eifel;5;1;0.01;1;0;0;100.00;0.00;0.00;lefie-
-bjekt;5;1;0.01;0;0;1;0.00;0.00;100.00;tkejb-
-tie;3;1;0.01;0;1;0;0.00;100.00;0.00;eit-
-rmung;5;1;0.01;0;1;0;0.00;100.00;0.00;gnumr-
-erät;4;1;0.01;0;0;1;0.00;0.00;100.00;täre-
-eifen;5;1;0.01;1;0;0;100.00;0.00;0.00;nefie-
-nügen;5;1;0.01;0;0;1;0.00;0.00;100.00;negün-
-häre;4;2;0.02;0;2;0;0.00;100.00;0.00;eräh-
-rger;4;2;0.02;2;0;0;100.00;0.00;0.00;regr-
-dien;4;1;0.01;0;1;0;0.00;100.00;0.00;neid-
-irte;4;1;0.01;1;0;0;100.00;0.00;0.00;etri-
