suffix;len;count;%count;der;die;das;%der;%die;%das;rev
-remat;5;1;0.00;1;0;0;100.00;0.00;0.00;tamer-
-ktour;5;2;0.00;0;2;0;0.00;100.00;0.00;ruotk-
-roa;3;2;0.00;0;2;0;0.00;100.00;0.00;aor-
-üfmaß;5;2;0.00;0;0;2;0.00;0.00;100.00;ßamfü-
-tsruf;5;1;0.00;1;0;0;100.00;0.00;0.00;furst-
-trose;5;23;0.00;3;20;0;13.04;86.96;0.00;esort-
-chkek;5;1;0.00;0;0;1;0.00;0.00;100.00;kekhc-
-uno;3;3;0.00;2;1;0;66.67;33.33;0.00;onu-
-kron;4;5;0.00;0;0;5;0.00;0.00;100.00;nork-
-epsen;5;1;0.00;0;0;1;0.00;0.00;100.00;nespe-
-roc;3;1;0.00;0;0;1;0.00;0.00;100.00;cor-
-ikate;5;2;0.00;0;2;0;0.00;100.00;0.00;etaki-
-hstor;5;1;0.00;0;0;1;0.00;0.00;100.00;rotsh-
-gfer;4;15;0.00;0;15;0;0.00;100.00;0.00;refg-
-clero;5;1;0.00;1;0;0;100.00;0.00;0.00;orelc-
-ilgut;5;2;0.00;0;0;2;0.00;0.00;100.00;tugli-
-rod;3;5;0.00;1;1;3;20.00;20.00;60.00;dor-
-hiin;4;1;0.00;0;1;0;0.00;100.00;0.00;niih-
-iggel;5;1;0.00;0;1;0;0.00;100.00;0.00;leggi-
-litie;5;2;0.00;0;2;0;0.00;100.00;0.00;eitil-
-dcape;5;1;0.00;0;0;1;0.00;0.00;100.00;epacd-
-roe;3;2;0.00;1;1;0;50.00;50.00;0.00;eor-
-hmbau;5;1;0.00;1;0;0;100.00;0.00;0.00;uabmh-
-rof;3;1;0.00;1;0;0;100.00;0.00;0.00;for-
-uns;3;1;0.00;1;0;0;100.00;0.00;0.00;snu-
-kope;4;7;0.00;0;7;0;0.00;100.00;0.00;epok-
-muth;4;1;0.00;1;0;0;100.00;0.00;0.00;htum-
-kros;4;1;0.00;1;0;0;100.00;0.00;0.00;sork-
-eryit;5;2;0.00;2;0;0;100.00;0.00;0.00;tiyre-
-epser;5;3;0.00;3;0;0;100.00;0.00;0.00;respe-
-kopf;4;443;0.02;443;0;0;100.00;0.00;0.00;fpok-
-rog;3;32;0.00;32;0;0;100.00;0.00;0.00;gor-
-unt;3;13;0.00;11;0;2;84.62;0.00;15.38;tnu-
-krot;4;1;0.00;0;0;1;0.00;0.00;100.00;tork-
-genta;5;2;0.00;0;0;2;0.00;0.00;100.00;atneg-
-ifada;5;1;0.00;0;1;0;0.00;100.00;0.00;adafi-
-roh;3;23;0.00;1;0;22;4.35;0.00;95.65;hor-
-risma;5;31;0.00;0;0;31;0.00;0.00;100.00;amsir-
-okurs;5;2;0.00;2;0;0;100.00;0.00;0.00;sruko-
-roi;3;3;0.00;2;1;0;66.67;33.33;0.00;ior-
-erdog;5;1;0.00;1;0;0;100.00;0.00;0.00;godre-
-osteß;5;1;0.00;0;1;0;0.00;100.00;0.00;ßetso-
-guan;4;49;0.00;49;0;0;100.00;0.00;0.00;naug-
-gfex;4;1;0.00;1;0;0;100.00;0.00;0.00;xefg-
-unx;3;1;0.00;1;0;0;100.00;0.00;0.00;xnu-
-hiit;4;7;0.00;7;0;0;100.00;0.00;0.00;tiih-
-litik;5;360;0.02;0;360;0;0.00;100.00;0.00;kitil-
-igger;5;6;0.00;6;0;0;100.00;0.00;0.00;reggi-
-gente;5;10;0.00;0;10;0;0.00;100.00;0.00;etneg-
